Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,126340.000000,126654.000000,126077.000000,126279.000000,126279.000000,24300
2012-09-05,126315.000000,128000.000000,126315.000000,127770.000000,127770.000000,68700
2012-09-06,128050.000000,129597.000000,128050.000000,129597.000000,129597.000000,80900
2012-09-07,129887.000000,130039.000000,129610.000000,129942.000000,129942.000000,90900
2012-09-10,129961.000000,130717.000000,129700.000000,129700.000000,129700.000000,39800
2012-09-11,130245.000000,130367.000000,129702.000000,130170.000000,130170.000000,43200
2012-09-12,129590.000000,130540.000000,129225.000000,130150.000000,130150.000000,52800
2012-09-13,129770.000000,132851.000000,129770.000000,132851.000000,132851.000000,86900
2012-09-14,132850.000000,133789.000000,132005.000000,133000.000000,133000.000000,85500
2012-09-17,132700.000000,133101.000000,132490.000000,132685.000000,132685.000000,42000
2012-09-18,132350.000000,132898.000000,132324.000000,132898.000000,132898.000000,37300
2012-09-19,132715.000000,133810.000000,132715.000000,133300.000000,133300.000000,63600
2012-09-20,132125.000000,134205.000000,131935.000000,133816.000000,133816.000000,49000
2012-09-21,134490.000000,134892.000000,133934.000000,134584.000000,134584.000000,38700
2012-09-24,133505.000000,134535.000000,133000.000000,133034.000000,133034.000000,38500
2012-09-25,133348.000000,134075.000000,132170.000000,132485.000000,132485.000000,47700
2012-09-26,132199.000000,133590.000000,132199.000000,132490.000000,132490.000000,39200
2012-09-27,133000.000000,133000.000000,132115.000000,132408.000000,132408.000000,63200
2012-09-28,132375.000000,132707.000000,131212.000000,132700.000000,132700.000000,72600
2012-10-01,132630.000000,134285.000000,132630.000000,133000.000000,133000.000000,67200
2012-10-02,133600.000000,133911.000000,132595.000000,133227.000000,133227.000000,41000
2012-10-03,133500.000000,134460.000000,132820.000000,134065.000000,134065.000000,50500
2012-10-04,134475.000000,135725.000000,134461.000000,135281.000000,135281.000000,69800
2012-10-05,135900.000000,136100.000000,135157.000000,135555.000000,135555.000000,59300
2012-10-08,135602.000000,135915.000000,135180.000000,135400.000000,135400.000000,28100
2012-10-09,135200.000000,135700.000000,133880.000000,133880.000000,133880.000000,40200
2012-10-10,133880.000000,134115.000000,132800.000000,133066.000000,133066.000000,29400
2012-10-11,134400.000000,134400.000000,133010.000000,133013.000000,133013.000000,19300
2012-10-12,133740.000000,134327.000000,132341.000000,132502.000000,132502.000000,32400
2012-10-15,132750.000000,133855.000000,132430.000000,133605.000000,133605.000000,29300
2012-10-16,134000.000000,134970.000000,134000.000000,134850.000000,134850.000000,35600
2012-10-17,134400.000000,135849.000000,134400.000000,135766.000000,135766.000000,74900
2012-10-18,135800.000000,136345.000000,135400.000000,135400.000000,135400.000000,76800
2012-10-19,135350.000000,135423.000000,132800.000000,133841.000000,133841.000000,47700
2012-10-22,133643.000000,134000.000000,131800.000000,132609.000000,132609.000000,61800
2012-10-23,131250.000000,131600.000000,130261.000000,130570.000000,130570.000000,78900
2012-10-24,131357.000000,131555.000000,130265.000000,130445.000000,130445.000000,48800
2012-10-25,131060.000000,131060.000000,130248.000000,130582.000000,130582.000000,46100
2012-10-26,130899.000000,130899.000000,129475.000000,129725.000000,129725.000000,56800
2012-10-31,130500.000000,130500.000000,129264.000000,129505.000000,129505.000000,100900
2012-11-01,130053.000000,131433.000000,129784.000000,131400.000000,131400.000000,81600
2012-11-02,132638.000000,132638.000000,130402.000000,130550.000000,130550.000000,28600
2012-11-05,130755.000000,130755.000000,128150.000000,130300.000000,130300.000000,78000
2012-11-06,130516.000000,131066.000000,129971.000000,130673.000000,130673.000000,68000
2012-11-07,130205.000000,130228.000000,127962.000000,128359.000000,128359.000000,60500
2012-11-08,128605.000000,129711.000000,126900.000000,126900.000000,126900.000000,79800
2012-11-09,126847.000000,128738.000000,125950.000000,127585.000000,127585.000000,72600
2012-11-12,128250.000000,128498.000000,127793.000000,128160.000000,128160.000000,50700
2012-11-13,127845.000000,130110.000000,127659.000000,128925.000000,128925.000000,63600
2012-11-14,129745.000000,129745.000000,127800.000000,128150.000000,128150.000000,83200
2012-11-15,128150.000000,128920.000000,127700.000000,128178.000000,128178.000000,58700
2012-11-16,128475.000000,129345.000000,127500.000000,129345.000000,129345.000000,49700
2012-11-19,130030.000000,130556.000000,129531.000000,130000.000000,130000.000000,73700
2012-11-20,130145.000000,130282.000000,129332.000000,130203.000000,130203.000000,31600
2012-11-21,130300.000000,131321.000000,130170.000000,131310.000000,131310.000000,60400
2012-11-23,131718.000000,132606.000000,131700.000000,132606.000000,132606.000000,23700
2012-11-26,132237.000000,132500.000000,131943.000000,132411.000000,132411.000000,50200
2012-11-27,132400.000000,132956.000000,132001.000000,132004.000000,132004.000000,48800
2012-11-28,131800.000000,132415.000000,130955.000000,132291.000000,132291.000000,94000
2012-11-29,132795.000000,132924.000000,131495.000000,131875.000000,131875.000000,47800
2012-11-30,131873.000000,132420.000000,131617.000000,131916.000000,131916.000000,65900
2012-12-03,132373.000000,132850.000000,131700.000000,131890.000000,131890.000000,51900
2012-12-04,131775.000000,131887.000000,130733.000000,130890.000000,130890.000000,44200
2012-12-05,131048.000000,131908.000000,130545.000000,131444.000000,131444.000000,64900
2012-12-06,131695.000000,131801.000000,130764.000000,131240.000000,131240.000000,45700
2012-12-07,131420.000000,131544.000000,130500.000000,131090.000000,131090.000000,45300
2012-12-10,131090.000000,131090.000000,130497.000000,130788.000000,130788.000000,71600
