Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,52.349998,52.669998,52.150002,52.509998,43.554558,1872400
2012-09-05,52.619999,52.810001,52.400002,52.500000,43.546257,1524000
2012-09-06,52.669998,53.799999,52.580002,53.770000,44.599663,2460800
2012-09-07,53.720001,53.849998,53.119999,53.160000,44.093704,2011800
2012-09-10,53.419998,53.500000,53.200001,53.279999,44.193230,1242700
2012-09-11,53.279999,53.389999,52.939999,52.939999,43.911221,1253700
2012-09-12,53.070000,53.119999,52.680000,52.759998,43.761909,1409300
2012-09-13,52.709999,53.599998,52.709999,53.590000,44.450363,1852400
2012-09-14,53.560001,53.630001,52.689999,52.820000,43.811687,2169700
2012-09-17,52.849998,53.029999,52.439999,52.610001,43.637501,1566700
2012-09-18,52.580002,52.689999,52.169998,52.250000,43.338898,1532900
2012-09-19,52.450001,52.770000,52.200001,52.360001,43.430138,1453700
2012-09-20,52.540001,52.849998,52.209999,52.720001,43.728741,1715600
2012-09-21,52.840000,52.980000,52.529999,52.700001,43.712151,2667600
2012-09-24,52.680000,53.200001,52.610001,53.110001,44.052219,1300400
2012-09-25,53.270000,53.459999,52.650002,52.650002,43.670689,2156800
2012-09-26,52.810001,53.540001,52.790001,52.889999,43.869755,2075900
2012-09-27,53.070000,53.119999,52.680000,52.810001,43.803394,2061300
2012-09-28,52.779999,53.139999,52.570000,52.939999,43.911221,2392300
2012-10-01,53.130001,53.389999,52.740002,52.810001,43.803394,1548000
2012-10-02,52.910000,53.250000,52.790001,53.230000,44.151752,1439700
2012-10-03,53.400002,53.650002,53.320000,53.330002,44.234703,1627400
2012-10-04,53.560001,53.889999,53.369999,53.380001,44.276173,1912000
2012-10-05,53.590000,53.790001,53.220001,53.259998,44.176643,2764200
2012-10-08,53.230000,53.490002,52.709999,53.029999,43.985870,2309500
2012-10-09,53.009998,53.189999,52.680000,52.820000,43.811687,1997200
2012-10-10,53.060001,53.380001,52.939999,53.220001,44.143467,2261100
2012-10-11,53.430000,53.450001,52.910000,53.029999,43.985870,1328000
2012-10-12,53.160000,53.250000,52.599998,52.680000,43.695560,1558100
2012-10-15,52.660000,52.830002,52.410000,52.759998,43.761909,1346300
2012-10-16,52.959999,52.980000,52.439999,52.660000,43.678970,1504700
2012-10-17,52.799999,53.380001,52.720001,53.349998,44.251293,1432600
2012-10-18,53.320000,53.639999,53.119999,53.580002,44.442074,1630300
2012-10-19,53.529999,53.700001,53.340000,53.509998,44.384007,2206600
2012-10-22,53.410000,53.570000,52.650002,52.959999,43.927799,1688000
2012-10-23,52.599998,52.959999,52.439999,52.689999,43.703857,1909500
2012-10-24,52.669998,52.799999,52.299999,52.450001,43.504791,1700200
2012-10-25,52.360001,52.360001,51.020000,51.950001,43.090061,4925200
2012-10-26,51.900002,52.169998,51.500000,52.070000,43.189602,2752100
2012-10-31,52.330002,52.849998,52.000000,52.779999,43.778511,2744600
2012-11-01,52.880001,52.910000,51.950001,52.020000,43.148117,3493800
2012-11-02,52.340000,52.340000,51.599998,51.700001,42.882702,2311700
2012-11-05,51.459999,51.529999,50.660000,50.930000,42.244011,1990100
2012-11-06,50.930000,51.220001,50.750000,50.970001,42.277203,1626400
2012-11-07,50.680000,50.750000,49.529999,49.860001,41.356510,2457800
2012-11-08,49.799999,50.500000,49.430000,49.430000,40.999836,2502200
2012-11-09,49.230000,49.560001,49.029999,49.330002,40.916908,2232400
2012-11-12,49.299999,49.389999,48.970001,49.189999,40.800774,2088500
2012-11-13,49.049999,50.360001,48.939999,50.209999,41.646812,4078000
2012-11-14,50.220001,50.430000,49.799999,49.889999,41.381397,2832900
2012-11-15,49.860001,50.169998,49.290001,49.680000,41.207203,2417900
2012-11-16,49.740002,50.240002,49.500000,50.150002,41.597046,2409800
2012-11-19,50.459999,50.459999,49.919998,50.279999,41.704872,2497300
2012-11-20,50.279999,50.360001,49.750000,50.340000,41.754642,2031700
2012-11-21,50.349998,50.490002,49.639999,50.160000,41.605331,2003800
2012-11-23,50.220001,50.290001,49.799999,50.119999,41.572159,1053900
2012-11-26,50.020000,50.889999,49.950001,50.650002,42.011772,1798300
2012-11-27,50.590000,51.000000,50.500000,50.540001,41.920528,2800500
2012-11-28,50.060001,50.459999,49.849998,50.430000,42.270061,2865900
2012-11-29,50.540001,50.849998,50.369999,50.669998,42.471222,2296900
2012-11-30,50.740002,51.110001,50.580002,51.110001,42.840031,2853500
2012-12-03,51.160000,51.160000,50.540001,50.750000,42.538269,2372600
2012-12-04,50.750000,50.810001,50.360001,50.400002,42.244907,1729500
2012-12-05,50.480000,51.880001,50.430000,51.730000,43.359707,3365300
2012-12-06,51.799999,52.049999,51.349998,51.540001,43.200455,2036100
2012-12-07,51.810001,51.980000,51.450001,51.689999,43.326180,1713800
2012-12-10,51.630001,51.799999,51.509998,51.590000,43.242359,1338700
2012-12-11,51.630001,51.869999,51.439999,51.599998,43.250736,1616500
2012-12-12,51.740002,51.849998,51.439999,51.560001,43.217216,1969300
2012-12-13,51.490002,51.619999,51.160000,51.340000,43.032822,1196500
2012-12-14,51.299999,51.369999,50.959999,51.189999,42.907085,1609400
2012-12-17,51.330002,52.040001,51.259998,51.959999,43.552494,1931900
2012-12-18,51.880001,52.299999,51.759998,52.230000,43.778801,2197400
2012-12-19,52.169998,52.220001,51.750000,51.799999,43.418381,2017000
2012-12-20,52.189999,52.400002,51.919998,52.200001,43.753654,2170700
2012-12-21,52.020000,52.299999,51.770000,51.939999,43.535728,4139800
2012-12-24,51.849998,52.029999,51.500000,51.939999,43.535728,953900
2012-12-26,52.000000,52.070000,51.639999,51.709999,43.342941,1828800
2012-12-27,51.660000,51.840000,51.209999,51.619999,43.267509,2493400
2012-12-28,51.389999,51.740002,51.060001,51.080002,42.814896,1696300
2012-12-31,50.930000,51.869999,50.750000,51.799999,43.418381,2152700
2013-01-02,52.360001,52.959999,52.360001,52.919998,44.357151,2330900
2013-01-03,52.860001,53.169998,52.630001,52.980000,44.407448,1540700
2013-01-04,53.000000,53.980000,52.970001,53.540001,44.876835,2881100
2013-01-07,53.189999,53.220001,52.549999,52.660000,44.139233,2076600
2013-01-08,52.500000,52.840000,52.189999,52.369999,43.896149,1911500
2013-01-09,52.349998,52.389999,51.919998,52.200001,43.753654,1643900
2013-01-10,52.320000,52.380001,52.049999,52.220001,43.770428,2484000
2013-01-11,52.209999,52.430000,52.160000,52.430000,43.946438,2290900
2013-01-14,52.450001,52.540001,52.250000,52.389999,43.912910,1237300
2013-01-15,52.310001,52.540001,52.130001,52.529999,44.030254,1840000
2013-01-16,52.540001,52.650002,52.259998,52.400002,43.921295,2380200
2013-01-17,52.549999,52.709999,52.330002,52.410000,43.929668,1538800
2013-01-18,52.470001,52.919998,52.349998,52.919998,44.357151,2425700
2013-01-22,52.849998,53.380001,52.650002,53.290001,44.667290,1481500
2013-01-23,53.119999,53.480000,52.900002,53.360001,44.725960,2047600
2013-01-24,53.480000,53.889999,53.419998,53.790001,45.086388,1418200
2013-01-25,53.860001,54.090000,53.400002,53.880001,45.161823,1674500
2013-01-28,53.939999,53.990002,53.570000,53.750000,45.052860,1332300
2013-01-29,53.750000,54.360001,53.750000,54.360001,45.564163,2273500
2013-01-30,54.299999,54.540001,54.060001,54.520000,45.698269,2083500
2013-01-31,54.400002,54.500000,53.869999,54.110001,45.354610,3246600
2013-02-01,54.320000,54.430000,54.040001,54.169998,45.404892,1791400
2013-02-04,54.009998,54.150002,53.970001,54.070000,45.321079,1770300
2013-02-05,54.310001,54.709999,54.240002,54.310001,45.522247,1561200
2013-02-06,54.110001,54.410000,53.900002,54.349998,45.555771,1536300
2013-02-07,54.419998,54.630001,54.080002,54.310001,45.522247,1484900
2013-02-08,54.169998,54.360001,54.000000,54.310001,45.522247,1265700
