Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,49.520000,49.830002,49.230000,49.660000,46.087624,6988700
2012-09-05,50.139999,51.240002,50.090000,50.790001,47.136337,16689300
2012-09-06,50.700001,51.869999,50.639999,51.860001,48.129368,10124600
2012-09-07,51.869999,52.000000,51.660000,51.740002,48.018002,8923600
2012-09-10,51.610001,51.799999,51.480000,51.520000,47.813828,7479300
2012-09-11,51.470001,51.669998,51.430000,51.560001,47.850952,6631700
2012-09-12,51.599998,51.790001,51.270000,51.700001,47.980877,7100200
2012-09-13,51.730000,52.669998,51.730000,52.599998,48.816132,11184700
2012-09-14,52.450001,52.750000,52.169998,52.349998,48.584110,9507000
2012-09-17,52.320000,52.430000,51.959999,52.150002,48.398506,7852900
2012-09-18,52.029999,52.119999,51.770000,51.900002,48.166496,7100800
2012-09-19,51.779999,52.950001,51.779999,52.700001,48.908939,7822500
2012-09-20,52.430000,52.910000,52.430000,52.660000,48.871815,8598300
2012-09-21,52.939999,53.389999,52.730000,52.740002,48.946068,13229300
2012-09-24,52.669998,53.049999,52.610001,52.919998,49.113117,6148000
2012-09-25,52.889999,53.400002,52.540001,52.540001,48.760452,7421200
2012-09-26,52.419998,52.599998,51.770000,51.939999,48.203609,8017900
2012-09-27,52.119999,52.779999,51.970001,52.580002,48.797577,5309400
2012-09-28,52.410000,52.529999,52.049999,52.279999,48.519150,6695200
2012-10-01,52.310001,52.860001,51.919998,52.070000,48.324261,6557200
2012-10-02,52.130001,52.250000,51.470001,51.639999,47.925186,7243900
2012-10-03,51.720001,52.689999,51.689999,52.470001,48.695488,6626600
2012-10-04,52.720001,53.080002,52.389999,52.630001,48.843975,6507800
2012-10-05,52.840000,53.150002,52.759998,52.970001,49.159515,5223200
2012-10-08,52.369999,52.500000,52.110001,52.330002,48.565559,5827900
2012-10-09,52.320000,52.330002,51.459999,51.509998,47.804546,8072100
2012-10-10,51.389999,51.630001,51.090000,51.209999,47.526127,6407900
2012-10-11,51.330002,51.560001,50.200001,50.340000,46.718708,10118400
2012-10-12,50.549999,50.750000,50.419998,50.590000,46.950726,6135600
