Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,38.910427,39.964211,38.890545,39.656029,27.285934,14200
2012-09-05,39.964211,40.262451,39.318024,40.003975,27.525341,1800
2012-09-06,40.262451,40.570633,39.586441,40.451336,27.833158,3600
2012-09-07,38.989960,40.013916,38.989960,39.656029,27.285934,11000
2012-09-10,38.900486,40.153095,38.900486,39.646088,27.279089,6800
2012-09-11,39.496967,40.560692,39.496967,39.765385,27.361183,6300
2012-09-12,40.172981,40.461277,39.864799,40.153095,27.627945,8800
2012-09-13,39.795208,40.411572,39.785267,39.964211,27.497988,10400
2012-09-14,39.984093,40.570633,39.636147,40.570633,27.915243,13900
2012-09-17,40.560692,40.719753,39.546673,40.501045,27.867355,6600
2012-09-18,40.560692,40.560692,39.308083,40.153095,27.627945,1900
2012-09-19,40.113331,40.163036,39.268318,40.153095,27.627945,13100
2012-09-20,39.665970,40.560692,39.665970,40.560692,27.908403,7000
2012-09-21,40.451336,40.759518,40.361866,40.759518,28.045206,8100
2012-09-24,40.421513,40.660107,39.546673,40.401630,27.798954,7100
2012-09-25,40.073566,40.759518,39.099316,40.053684,27.559546,12100
2012-09-26,39.725620,40.073566,39.099316,39.715679,27.326981,5400
2012-09-27,39.914505,40.133213,39.347847,40.063625,27.566391,4300
2012-09-28,39.815090,40.679989,39.815090,40.560692,27.908403,3300
2012-10-01,40.292274,40.998112,39.675911,40.968288,28.188856,10300
2012-10-02,40.998112,41.395763,40.341984,40.968288,28.188856,4800
2012-10-03,41.127350,41.753654,40.650166,41.445473,28.517187,9200
2012-10-04,40.948406,42.727905,40.948406,42.678200,29.365383,14300
2012-10-05,42.370018,43.493389,41.037876,42.320309,29.119129,5900
2012-10-08,42.529079,43.224972,41.763596,42.499256,29.242252,2900
2012-10-09,42.459488,42.837261,41.077641,42.061836,28.941280,3300
2012-10-10,41.872948,42.061836,41.107468,42.061836,28.941280,3000
2012-10-11,40.958347,42.201015,40.848991,41.753654,28.729233,3200
2012-10-12,42.598667,43.145443,41.554825,42.847202,29.481670,1400
2012-10-15,42.867085,42.867085,41.952480,42.240780,29.064421,3200
2012-10-16,42.161247,42.648376,41.753654,42.648376,29.344864,1300
2012-10-17,42.220898,43.036087,41.753654,42.002186,28.900242,1800
2012-10-18,43.055969,43.055969,41.753654,42.409782,29.180696,1900
2012-10-19,41.465355,42.250721,41.465355,42.141365,28.996002,2400
2012-10-22,41.544884,41.962421,40.769459,41.882893,28.818163,3500
2012-10-23,41.544884,41.703945,39.675911,41.445473,28.517187,4300
2012-10-24,40.829109,41.753654,40.003975,41.057758,28.250410,4100
2012-10-25,40.371807,41.743713,40.371807,41.604534,28.626631,1500
2012-10-26,40.431454,41.495178,40.431454,41.246643,28.380384,2300
2012-10-31,41.157173,41.644299,41.157173,41.554825,28.592426,4600
2012-11-01,41.346058,41.733772,41.276470,41.306293,28.421427,3200
2012-11-02,41.475296,42.240780,41.355999,41.355999,28.455622,2400
2012-11-05,40.898697,41.355999,40.809227,41.306293,28.421427,1300
2012-11-06,40.779400,41.733772,39.914505,40.461277,27.839996,6700
2012-11-07,40.341984,40.729694,38.304005,38.681778,26.615585,14300
2012-11-08,38.711601,40.501045,38.224476,38.294064,26.348814,6200
2012-11-09,38.661896,39.745502,38.274181,39.596382,27.244890,3500
2012-11-12,39.188786,39.795208,38.383537,38.711601,26.636106,7100
2012-11-13,38.720001,39.740002,38.720001,39.389999,27.172380,4600
2012-11-14,39.000000,39.369999,38.200001,38.330002,26.441153,6400
2012-11-15,38.400002,38.880001,38.000000,38.000000,26.213518,3300
2012-11-16,38.000000,38.619999,37.860001,37.860001,26.116941,4900
2012-11-19,38.320000,38.490002,38.000000,38.430000,26.510143,3600
2012-11-20,38.439999,39.430000,38.049999,39.040001,26.930939,4300
2012-11-21,39.110001,39.610001,39.110001,39.400002,27.179281,2900
2012-11-23,39.209999,39.400002,39.209999,39.400002,27.179281,1600
2012-11-26,39.099998,39.490002,38.259998,39.150002,27.006821,11500
2012-11-27,39.200001,40.169998,38.730000,39.040001,26.930939,9300
2012-11-28,38.849998,40.150002,38.770000,40.150002,27.696646,5700
2012-11-29,40.459999,40.459999,39.660000,40.000000,27.593174,7300
2012-11-30,39.959999,40.450001,39.900002,40.180000,27.717339,6400
2012-12-03,40.799999,40.820000,39.410000,40.250000,27.765627,6300
2012-12-04,40.250000,40.250000,39.380001,40.250000,27.765627,7600
2012-12-05,39.830002,41.000000,39.549999,40.459999,27.910498,4600
2012-12-06,40.650002,40.650002,39.669998,39.990002,27.586277,5300
2012-12-07,39.970001,40.459999,39.509998,39.889999,27.517292,6100
2012-12-10,39.700001,39.799999,39.599998,39.779999,27.441408,6800
2012-12-11,39.860001,39.860001,39.700001,39.709999,27.393124,5300
2012-12-12,39.840000,40.400002,39.619999,39.840000,27.482796,12300
2012-12-13,39.709999,40.299999,39.599998,40.250000,27.765627,10500
2012-12-14,40.139999,40.430000,40.000000,40.430000,27.889799,6600
2012-12-17,40.180000,40.459999,39.990002,40.459999,27.910498,13200
2012-12-18,40.570000,40.799999,40.029999,40.650002,28.041563,11500
2012-12-19,40.580002,41.090000,40.209999,40.740002,28.103645,6400
2012-12-20,40.500000,41.799999,40.439999,41.410000,28.565828,6400
2012-12-21,40.820000,41.939999,40.200001,41.009998,28.289900,20300
2012-12-24,40.799999,41.290001,39.599998,39.990002,27.586277,24900
2012-12-26,40.590000,41.450001,40.380001,40.799999,28.145041,13100
2012-12-27,41.250000,41.799999,40.560001,41.389999,28.552034,9500
2012-12-28,41.180000,41.990002,40.880001,41.840000,28.862453,14700
2012-12-31,41.000000,45.000000,37.220001,44.700001,30.835369,53900
2013-01-02,47.410000,49.020000,45.750000,47.799999,32.973843,54300
2013-01-03,48.349998,48.619999,47.619999,47.910000,33.049728,25200
2013-01-04,48.369999,51.400002,48.369999,50.740002,35.001942,36400
2013-01-07,51.290001,51.750000,50.220001,51.459999,35.498619,33800
2013-01-08,52.099998,54.349998,52.000000,54.000000,37.250786,43700
2013-01-09,54.540001,55.549999,54.029999,55.439999,38.244133,51300
2013-01-10,55.450001,55.500000,51.000000,51.299999,35.388245,41700
2013-01-11,51.910000,54.750000,51.910000,53.439999,36.864483,23600
2013-01-14,54.099998,55.750000,53.259998,55.139999,38.037193,23800
2013-01-15,55.490002,56.980000,54.750000,56.369999,38.885677,41000
2013-01-16,56.349998,60.849998,56.200001,59.490002,41.037952,56600
2013-01-17,59.900002,60.930000,58.290001,58.500000,40.355019,33500
2013-01-18,59.139999,59.200001,57.450001,57.790001,39.865238,39700
2013-01-22,58.630001,59.500000,58.049999,59.090000,40.762020,25500
2013-01-23,59.740002,60.180000,58.900002,60.000000,41.389755,25200
2013-01-24,60.610001,63.790001,60.610001,63.000000,43.459251,59300
2013-01-25,63.900002,63.900002,62.500000,63.099998,43.528233,38500
2013-01-28,63.889999,63.889999,62.700001,63.709999,43.949028,32300
2013-01-29,63.599998,65.169998,62.250000,62.770000,43.300591,67100
